Entity,Code,Day,people_vaccinated_per_hundred,willingness_covid_vaccinate_this_week_pct_pop,uncertain_covid_vaccinate_this_week_pct_pop,unwillingness_covid_vaccinate_this_week_pct_pop
Australia,AUS,2021-02-15,0,52.98,19.05,27.97
Australia,AUS,2021-03-15,0.62,51.82,19.82,27.74
Australia,AUS,2021-06-15,20.57,32.41,18.77,28.25
Australia,AUS,2021-07-15,27.68,30.99,15.68,25.65
Australia,AUS,2021-08-15,38.5,28.93,14.18,18.39
Australia,AUS,2021-09-15,56.37,16.96,9.15,17.52
Australia,AUS,2021-10-15,70.55,8.87,4.97,15.61
Canada,CAN,2020-12-15,0,48.85,19.8,31.35
Canada,CAN,2021-01-15,1.3,54.78,15.71,28.21
Canada,CAN,2021-02-15,2.59,54.13,15.81,27.47
Canada,CAN,2021-03-15,6.77,55.85,13.12,24.26
Canada,CAN,2021-04-15,22.02,41.83,11.69,24.46
Canada,CAN,2021-05-15,44.12,23.05,9.49,23.34
Canada,CAN,2021-06-15,65.12,8.26,6.53,20.09
Canada,CAN,2021-07-15,69.57,3.99,7.97,18.47
Canada,CAN,2021-08-15,72.15,3.92,6.79,17.14
Canada,CAN,2021-09-15,74.81,3.27,4.28,17.64
Canada,CAN,2021-10-15,77.53,2.32,3.1,17.05
Denmark,DNK,2021-01-15,2.65,63.94,15.18,18.23
Denmark,DNK,2021-02-15,4.1,69.02,10.41,16.47
Denmark,DNK,2021-03-15,9.85,58.31,11.47,20.37
Denmark,DNK,2021-04-15,17.3,55.21,9.71,17.78
Denmark,DNK,2021-05-15,28,41.65,11.61,18.74
Denmark,DNK,2021-06-15,48.58,26.34,10.38,14.7
Denmark,DNK,2021-07-15,65.97,11.78,5.63,16.62
Denmark,DNK,2021-08-15,74.38,3.99,5.32,16.31
Denmark,DNK,2021-09-15,76.26,3.26,4.04,16.44
France,FRA,2021-01-15,0.62,35.4,17.45,46.53
France,FRA,2021-02-15,3.63,39.24,14.67,42.46
France,FRA,2021-03-15,8.2,36.79,15.3,39.71
France,FRA,2021-04-15,18.21,31.58,14.5,35.71
France,FRA,2021-05-15,30.38,23.38,12.82,33.42
France,FRA,2021-06-15,46.19,8.96,9.85,35
France,FRA,2021-07-15,54.98,7.83,7.61,29.58
France,FRA,2021-08-15,68.79,3.63,4.38,23.2
France,FRA,2021-09-15,73.72,2.12,3.92,20.24
France,FRA,2021-10-15,75.26,2.75,1.62,20.37
Germany,DEU,2021-01-15,1.33,51.32,16.63,30.72
Germany,DEU,2021-02-15,3.4,57.4,13.35,25.85
Germany,DEU,2021-03-15,8.23,53.51,13.28,24.98
Germany,DEU,2021-04-15,18.51,47.24,12.85,21.4
Germany,DEU,2021-05-15,36.74,33.07,10.86,19.33
Germany,DEU,2021-06-15,49.1,19.09,8.88,22.93
Germany,DEU,2021-07-15,59.47,8.32,8.09,24.12
Germany,DEU,2021-08-15,63,6.28,6.71,24.01
Germany,DEU,2021-09-15,66.35,4.22,5.39,24.04
Germany,DEU,2021-10-15,68.23,2.66,4.92,24.19
Italy,ITA,2021-01-15,1.87,54.24,17.66,26.23
Italy,ITA,2021-02-15,3.03,58.9,15.67,22.4
Italy,ITA,2021-03-15,8.26,53.68,13.24,24.82
Italy,ITA,2021-04-15,17.1,47.47,12.04,23.39
Italy,ITA,2021-05-15,31.6,38.6,10.5,19.3
Italy,ITA,2021-06-15,50.13,22.42,9.4,18.05
Italy,ITA,2021-07-15,60.31,10.42,9.28,19.99
Italy,ITA,2021-08-15,67.59,7.19,6.45,18.77
Italy,ITA,2021-09-15,72.96,4.26,5.21,17.57
Italy,ITA,2021-10-15,76.45,2.97,3.15,17.43
Japan,JPN,2021-03-15,0.22,53.28,25.07,21.43
Japan,JPN,2021-04-15,0.95,55.51,24.04,19.5
Japan,JPN,2021-05-15,4.24,58.13,21.82,15.81
Japan,JPN,2021-06-15,18.26,49.23,18.54,13.97
Japan,JPN,2021-07-15,34.77,36.56,15.13,13.54
Japan,JPN,2021-08-15,49.73,28.9,9.63,11.74
Netherlands,NLD,2021-02-15,4.02,58.65,16.81,20.52
Netherlands,NLD,2021-09-15,73.81,3.23,3.59,19.37
Norway,NOR,2020-12-15,0,45.7,21.8,32.5
Norway,NOR,2021-01-15,0.94,54.9,17.9,26.26
Norway,NOR,2021-02-15,4.42,56.85,13.92,24.81
Norway,NOR,2021-03-15,8.41,52.55,13.01,26.03
Norway,NOR,2021-04-15,19.28,47.18,11.06,22.48
Norway,NOR,2021-05-15,29.34,38.27,12.28,20.11
Norway,NOR,2021-06-15,37.22,31.3,9.79,21.69
Norway,NOR,2021-07-15,58.9,13.48,7.4,20.22
Norway,NOR,2021-08-15,69.16,6.45,4.84,19.55
Singapore,SGP,2021-01-15,0.11,36.32,34.87,28.7
Singapore,SGP,2021-02-15,4.24,45.46,29.47,20.83
Singapore,SGP,2021-03-15,9.31,45.59,25.25,19.85
Singapore,SGP,2021-05-15,32.22,33.19,18.23,16.36
Singapore,SGP,2021-06-15,45.8,28.7,13.21,12.29
Singapore,SGP,2021-07-15,68.72,8.55,11.33,11.4
Singapore,SGP,2021-08-15,76.45,4.06,9.15,10.34
South Korea,KOR,2021-03-15,1.2,48.36,27.5,22.94
South Korea,KOR,2021-04-15,2.74,47.54,26.76,22.96
South Korea,KOR,2021-05-15,7.36,41.16,28.58,22.9
South Korea,KOR,2021-06-15,25.96,38.46,20.13,15.45
South Korea,KOR,2021-07-15,31.24,36.27,18.62,13.87
South Korea,KOR,2021-08-15,43.79,26.82,16.92,12.47
South Korea,KOR,2021-09-15,68.28,10.33,8.23,13.16
Spain,ESP,2021-01-15,1.64,51.88,20.93,25.55
Spain,ESP,2021-02-15,3.27,53.26,19.02,24.45
Spain,ESP,2021-03-15,8.45,49.24,18.01,24.3
Spain,ESP,2021-04-15,18.47,43.77,17.32,20.44
Spain,ESP,2021-05-15,31.9,35.19,13.87,19.04
Spain,ESP,2021-06-15,47.17,25.1,12,15.73
Spain,ESP,2021-07-15,62.11,15.71,8,14.18
Spain,ESP,2021-08-15,74.27,5.9,6.15,13.68
Spain,ESP,2021-09-15,79.88,3.78,3.65,12.69
Sweden,SWE,2021-01-15,0.52,55.58,17.3,26.6
Sweden,SWE,2021-02-15,3.86,59.43,12.16,24.55
Sweden,SWE,2021-03-15,8.84,56.43,11.13,23.6
Sweden,SWE,2021-04-15,15.7,47.94,12.36,24
Sweden,SWE,2021-05-15,30.74,36.98,10.1,22.18
Sweden,SWE,2021-06-15,42.65,27.38,8.26,21.71
Sweden,SWE,2021-07-15,56.33,12.37,8.12,23.18
Sweden,SWE,2021-08-15,65.89,6.25,5.74,22.12
Sweden,SWE,2021-09-15,69.23,4.06,5.64,21.07
United Kingdom,GBR,2021-01-15,5.24,74,7.95,12.81
United Kingdom,GBR,2021-02-15,22.84,58.89,6.78,11.49
United Kingdom,GBR,2021-03-15,36.42,42.91,6.57,14.1
United Kingdom,GBR,2021-04-15,47.76,35.13,4.22,12.89
United Kingdom,GBR,2021-05-15,53.62,28.75,4.54,13.09
United Kingdom,GBR,2021-06-15,61.61,11.75,5.27,21.37
United Kingdom,GBR,2021-07-15,67.67,4.81,6.02,21.5
United Kingdom,GBR,2021-08-15,69.4,3.43,5.63,21.54
United Kingdom,GBR,2021-09-15,71.11,2.74,4.25,21.9
United States,USA,2021-02-15,11.39,41.8,13.39,33.42
United States,USA,2021-03-15,21.13,33.76,14.28,30.83
United States,USA,2021-04-15,37.41,21.62,9.85,31.12
United States,USA,2021-05-15,46.45,12.33,11.42,29.8
United States,USA,2021-06-15,51.94,7.98,7.58,32.5
United States,USA,2021-07-15,55.05,7.5,8.57,28.88
United States,USA,2021-08-15,58.9,7.42,9.24,24.44
United States,USA,2021-09-15,62.55,6.79,6.37,24.29
United States,USA,2021-10-15,64.91,3.85,5.28,25.96